Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Toni Kukoč,,10.1,10,7,6.9,4.7,4,3.4,3.2,3.1,2.8,2,1.5,1.1,NA,NA,NA,NA,NA
Donyell Marshall,87.2,10.4,8.5,6,6,5,4.2,4.2,3.8,3.8,3,1.3,1.3,0.8,0.3,0.3,NA,NA,NA
Jermaine O'Neal,86.3,10.5,9,6.4,6.4,5.6,4.9,4.7,3.8,2.7,2.6,2.1,2,1.2,1.1,0.9,0.8,0.8,0.6
Derrick Coleman,84.8,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2,1.2,0.8,-0.1,-0.2,NA,NA,NA
Corey Maggette,84.6,8.6,8.1,7,6.9,6.3,5,3.9,3.4,3.3,3.3,3,2.6,0.7,0.1,NA,NA,NA,NA
Danny Manning,84.5,9.8,7.9,6.5,5.3,5.2,5.2,3.5,3.4,2.6,2.6,1,0.8,0.7,0.4,0.2,NA,NA,NA
Mickey Johnson,84.4,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,2.7,1.8,0.7,NA,NA,NA,NA,NA,NA
Tayshaun Prince,84.0,9.4,8,7.5,7.5,7,6.2,3.6,3.3,3.2,2.5,2.1,1.5,0.8,0.4,NA,NA,NA,NA
Nick Anderson,83.6,8.3,7.7,7.6,7.4,5.3,4.2,3.9,3.6,3.1,2.8,1.8,0,-0.4,NA,NA,NA,NA,NA
Gerald Wallace,83.4,11.5,9.5,7.7,6.4,6.2,4.8,4.6,3.1,2.4,1.3,0.9,0.6,0.4,0.1,NA,NA,NA,NA
Johnny Green,83.3,9.5,8.4,5.6,5.3,5.1,5.1,3.8,3.7,2.6,2.4,2.3,1.7,1.5,1.2,NA,NA,NA,NA
