,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1957-58,23,PHW,NBA,,14,,7,10,,,,34
1958-59,24,PHW,NBA,,18,38,7,8,,,6,41
1959-60,25,PHW,NBA,,13,30,4,7,,6,6,28
1960-61,26,STL,NBA,,11,,4,,,,,23
1961-62,27,TOT,NBA,,14,,6,,,,,30
1961-62,27,STL,NBA,,7,,6,,,,,16
1961-62,27,CHP,NBA,,14,,5,8,,,,30
1962-63,28,TOT,NBA,,14,,6,,,,,31
1962-63,28,CHZ,NBA,,14,,6,,,,,31
1962-63,28,STL,NBA,,8,,3,,,,,17
1965-66,31,BOS,NBA,,9,,3,5,,,,18
Career,,,,,18,,7,,,,,41
3 Seasons,,PHW,NBA,,18,,7,10,,,,41
3 Seasons,,STL,NBA,,11,,6,,,,,23
2 Seasons,,"CHP,CHZ",NBA,,14,,6,,,,,31
1 Season,,BOS,NBA,,9,,3,5,,,,18
