Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Al Ferrari,,3.3,1.9,1.4,1.4,0.9,0
Alec Burks,86.2,3.2,1.7,1.5,1.5,1,0.8
Quinton Ross,83.7,3.2,1.7,1.6,0.7,0.6,-0.1
Rick Adelman,83.4,3.4,2.2,1.6,0.7,0.7,0.1
Gary Grant,82.7,3,1.7,1.6,1.3,1.3,-0.4
Larry Wright,82.3,3.5,2.7,1.8,1.4,1.2,0
Mike Bratz,82.2,2.7,2.1,1.7,1.5,0.4,-0.1
Greg Minor,81.9,3,2.1,1.7,0.8,0.6,NA
J.J. Barea,81.6,3.2,2.2,2.2,1.2,0.5,0.1
Bucky Bockhorn,81.6,3.1,1.5,1.3,1.1,0.5,0.3
George Dempsey,81.6,3.5,2.2,2.1,1.5,1.4,NA
