Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Al Ferrari,,3.3,1.9,1.4,1.4,0.9,0,NA,NA
Rick Adelman,84.8,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA
Quinton Ross,83.3,3.2,1.7,1.6,0.7,0.6,0,-0.1,NA
Larry Wright,82.3,3.5,2.7,1.8,1.4,1.2,0,NA,NA
Greg Minor,81.9,3,2.1,1.7,0.8,0.6,NA,NA,NA
Ronald Murray,81.7,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3
George Dempsey,81.6,3.5,2.2,2.1,1.5,1.4,NA,NA,NA
Bucky Bockhorn,81.0,3.1,1.5,1.3,1.1,0.5,0.3,0.1,NA
Butch Carter,80.9,3,2.6,1.3,0.9,0.9,-0.2,NA,NA
Gary Neal,80.7,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA
Ron Lee,79.7,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA
