Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bison Dele,,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2
Adam Keefe,88.9,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.4
Dave Gambee,88.5,7,5.3,4.6,3.3,2.2,1.6,0,NA
Buck Johnson,88.4,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA
Pervis Ellison,87.8,6.9,4,3.9,2.6,1.8,0.7,0.4,0
Bill Robinzine,87.1,6.9,5.5,3.4,3,2.4,2.3,-0.2,NA
Dick Schnittker,86.5,6.2,5.3,3.5,2.8,2.6,1.6,NA,NA
Greg Smith,85.7,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0
George Lynch,85.1,6.5,5.8,3.9,2.6,2.5,1.7,1.5,0.9
Markieff Morris,84.7,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5
Tiago Splitter,84.0,8.2,4.6,4.3,4,2.3,1.7,0.1,NA
