Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Bison Dele,,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA,NA,NA
Buck Johnson,88.4,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA,NA
Adam Keefe,87.4,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA
Bill Robinzine,87.1,6.9,5.5,3.4,3,2.4,2.3,-0.2,NA,NA,NA,NA
Pervis Ellison,86.6,6.9,4,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0,0
Dick Schnittker,86.5,6.2,5.3,3.5,2.8,2.6,1.6,NA,NA,NA,NA,NA
Greg Smith,85.7,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0,NA,NA,NA
Markieff Morris,84.7,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA,NA
Tiago Splitter,84.0,8.2,4.6,4.3,4,2.3,1.7,0.1,NA,NA,NA,NA
Andrés Nocioni,83.7,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,NA,NA,NA
George Carter,83.6,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0,NA,NA,NA
