Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Darko Miličić,,3.3,1.9,1.2,0.7,0.2,0.2,0,-0.1,-0.2,-0.2
Lee Nailon,83.0,3.5,2.2,0.9,0.7,0.5,0.3,NA,NA,NA,NA
Lou Amundson,82.0,2.9,1.8,1,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
Lorenzo Williams,81.8,3.1,1.7,1.1,0.4,0.4,0.3,0.3,NA,NA,NA
Simmie Hill,80.5,3.1,1.6,1.2,1,NA,NA,NA,NA,NA,NA
Brady Walker,80.1,2.8,1.9,1.2,1,NA,NA,NA,NA,NA,NA
Cristiano Felício,79.7,3.4,1.7,1.4,1.2,NA,NA,NA,NA,NA,NA
Noah Vonleh,79.6,3.2,1.8,1.6,1.2,0.5,NA,NA,NA,NA,NA
Barney Cable,79.5,3.3,1.6,0.7,0.4,0.3,0.1,NA,NA,NA,NA
Joey Graham,78.7,3,2.2,1.3,1.1,0.3,0,NA,NA,NA,NA
George Lee,78.4,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,NA,NA,NA
