Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Rodney Rogers,,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2,1.2,0.3
Chris Morris,89.4,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.6,1.2,1,NA
John Johnson,88.8,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1,1.2,0.2
Sam Mitchell,88.3,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.3,2.2,0.6
Antoine Carr,87.7,5.5,5.4,4.3,4,3.8,3.5,3.3,2.2,2.1,2.1,1.2,0.7
Dave Gambee,87.4,7,5.3,5,4.6,3.3,2.7,2.2,1.9,1.6,1.4,0,NA
Ray Scott,87.4,5.5,5.3,4.5,3.5,3.4,3,2.5,2.5,2.4,1.3,0.9,NA
Don Kojis,87.1,8.3,5,4.8,3.7,3.3,3.2,2.2,1.9,1.5,0.7,0.7,0.5
Matt Bonner,86.9,6.8,4.4,4.2,4.1,4,3.7,2.5,2.2,2.1,2,1.8,0.8
Joe Caldwell,86.4,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2,1.1,0.3,NA
Johnny Newman,86.4,6.7,4.5,4.4,4.1,3.7,3.7,3.1,2.8,2.8,2.7,2.3,0.3
