Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1969-70,25,DNR,ABA,PG,25,406,2.3,0.383,0.009,0.248,NA,NA,5.5,13.2,26.4,15.6,NA,-0.5,0.5,0,-0.001
Career,NA,,ABA,,25,406,2.3,0.383,0.009,0.248,NA,NA,5.5,13.2,26.4,15.6,NA,-0.5,0.5,0,-0.001
