Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1969-70,25,DNR,ABA,PG,25,NA,16.2,1.6,4.5,0.345,0,0,0,1.6,4.5,0.348,0.345,0.7,1.1,0.643,0.3,1.7,2,1.8,1.8,2,3.8
Career,NA,,ABA,,25,NA,16.2,1.6,4.5,0.345,0,0,0,1.6,4.5,0.348,0.345,0.7,1.1,0.643,0.3,1.7,2,1.8,1.8,2,3.8
