Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1962-63,25,SFW,NBA,NA,1,NA,5,7.2,14.4,0.5,0,0,NA,21.6,21.6,7.2,14.4
Career,NA,,NBA,NA,1,NA,5,7.2,14.4,0.5,0,0,NA,21.6,21.6,7.2,14.4
