Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ron Sobie,,3.6,2.6,0.9,0.1
Billy Ray Bates,95.2,3.6,2.4,0.9,0
Ron Lee,90.6,3.8,2.8,0.8,0.3
Roger Phegley,89.4,3.7,2.6,1.6,0
Terry Furlow,88.3,3.3,2.8,1.1,0
Pat Connaughton,86.3,3.9,2.5,0.6,-0.2
Gerald Henderson,86.2,3.3,2.4,1,0.4
Curly Armstrong,86.0,3.5,3.1,0.6,NA
Charles Johnson,85.8,3.7,2.4,1,0.9
Carlos Delfino,85.4,4,2.9,1,0.5
Earl Tatum,84.7,4.4,2.6,0.7,0
