Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1956-57,22,NYK,NBA,SG,71,1378,14,0.457,0.45,NA,NA,NA,NA,NA,1.5,1,2.6,0.09
1957-58,23,NYK,NBA,PG,55,1399,14.9,0.489,0.443,NA,NA,NA,NA,NA,2.8,0.8,3.6,0.124
1958-59,24,NYK,NBA,PG,50,857,13.5,0.436,0.333,NA,NA,NA,NA,NA,0.4,0.5,0.9,0.05
1959-60,25,TOT,NBA,PG,16,234,11.1,0.422,0.343,NA,NA,NA,NA,NA,0,0.1,0.1,0.016
1959-60,25,NYK,NBA,,15,221,11.7,0.43,0.346,NA,NA,NA,NA,NA,0,0.1,0.1,0.024
1959-60,25,MNL,NBA,PG,1,13,-0.8,0.225,0.25,NA,NA,NA,NA,NA,0,0,0,-0.121
Career,NA,,NBA,,192,3868,14,0.461,0.408,NA,NA,NA,NA,NA,4.7,2.4,7.2,0.089
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NYK,NBA,,191,3855,14.1,0.461,0.409,NA,NA,NA,NA,NA,4.8,2.4,7.2,0.09
1 season,NA,MNL,NBA,,1,13,-0.8,0.225,0.25,NA,NA,NA,NA,NA,0,0,0,-0.121
