Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Ron Sobie,,3.6,2.6,0.9,0.1,NA,NA,NA
Billy Ray Bates,95.2,3.6,2.4,0.9,0,NA,NA,NA
Terry Furlow,88.3,3.3,2.8,1.1,0,NA,NA,NA
Pat Connaughton,86.3,3.9,2.5,0.6,-0.2,NA,NA,NA
Curly Armstrong,86.0,3.5,3.1,0.6,NA,NA,NA,NA
Earl Tatum,84.7,4.4,2.6,0.7,0,NA,NA,NA
Tyus Jones,84.2,3.6,3,1.5,0.3,NA,NA,NA
Keith Jennings,83.2,4.2,2.9,0.6,NA,NA,NA,NA
Louie Nelson,83.1,2.9,2.3,1.1,0,0,NA,NA
Jim Les,82.8,3.6,2.3,1.3,0.3,0.3,0.2,0.1
Roger Phegley,81.5,3.7,2.6,1.6,0.8,0,-0.1,NA
