Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Thomas Robinson,,1.6,1.5,0.9,0.6,-0.1,NA,NA
Charles Pittman,86.2,1.7,1.5,0.9,0.1,NA,NA,NA
Dominic McGuire,85.9,1.7,1.5,0.9,0.3,0,-0.2,NA
Tony Brown,82.6,1.8,1.3,0.9,0.5,0.2,0.2,0
Rafael Addison,81.5,1.5,1.5,0.9,0.4,0.4,0.2,NA
Bob Brannum,80.5,2,1.6,1.1,0.8,0,NA,NA
Bob Portman,79.8,1.9,1.2,0.8,0.5,NA,NA,NA
Cliff Meely,79.6,1.8,1.2,1,0.4,0.2,NA,NA
Anthony Randolph,79.2,1.6,1.5,1.1,0.6,0.5,0.5,NA
Ben Coleman,79.1,2,1.8,0.8,0.5,0,NA,NA
Julian Wright,77.8,1.7,0.8,0.8,0.6,NA,NA,NA
