,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,PTP,ABA,,3,,0,,,,1,3,,,,,,,,,6
1972-73,25,DET,NBA,,8,,,,,,0,0,,,,,,,,,16
1973-74,26,KCO,NBA,,1,3,,,,,0,0,1,0,1,0,0,0,,0,2
Career,,,TOT,,8,,,,,,1,3,,,,,,,,,16
,,,NBA,,8,,,,,,0,0,,,,,,,,,16
,,,ABA,,3,,0,,,,1,3,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,
1 Season,,DET,NBA,,8,,,,,,0,0,,,,,,,,,16
1 Season,,PTP,ABA,,3,,0,,,,1,3,,,,,,,,,6
1 Season,,KCO,NBA,,1,3,,,,,0,0,1,0,1,0,0,0,,0,2
