,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,21,DET,NBA,,11,,,,,,7,8,,,,,,,27
1964-65,22,DET,NBA,,14,,,,,,8,13,,,,,,,29
1966-67,24,DET,NBA,,6,,,,,,4,8,,,,,,,13
1967-68,25,CHI,NBA,,7,10,,,,,3,6,,,17,4,,5,17
1967-68,25,INA,ABA,,15,,0,,,,7,9,,,,,,,30
Career,,,TOT,,15,,,,,,8,13,,,,,,,30
,,,NBA,,14,,,,,,8,13,,,,,,,29
,,,ABA,,15,,0,,,,7,9,,,,,,,30
,,,,,,,,,,,,,,,,,,,
3 Seasons,,DET,NBA,,14,,,,,,8,13,,,,,,,29
1 Season,,INA,ABA,,15,,0,,,,7,9,,,,,,,30
1 Season,,CHI,NBA,,7,10,,,,,3,6,,,17,4,,5,17
