Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Reggie Harding,,3.1,2.6,1.6,0
Willy Hernangómez,93.4,3.4,2.6,1.8,NA
Nat Clifton,90.4,3.3,2.4,1.6,-0.4
Tarik Black,87.3,3.1,2.4,1.5,0.7
Michael Doleac,87.1,3,2.2,1.5,0.3
Alex Len,86.3,3.4,3,1.3,0.2
Željko Rebrača,85.8,3.3,2.4,1.3,0.5
Jake Voskuhl,85.2,3.3,2.7,2.5,0
Len Elmore,84.5,3.4,2.2,2.1,0
Joel Anthony,84.0,3.3,3.1,1.7,0.6
Tom LaGarde,81.8,2.7,2.2,1.7,0.4
