Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,21,DET,NBA,C,39,NA,1158,5.7,14.3,0.4,NA,NA,NA,5.7,14.3,0.4,1.9,3,0.622,NA,NA,12.7,1.6,NA,3.7,13.3
1964-65,22,DET,NBA,C,78,NA,2699,5.4,13.2,0.41,NA,NA,NA,5.4,13.2,0.41,1.7,2.8,0.612,NA,NA,12.1,2.4,NA,3.4,12.5
1966-67,24,DET,NBA,C,74,NA,1367,4.5,10.1,0.449,NA,NA,NA,4.5,10.1,0.449,1.7,2.7,0.612,NA,NA,12,2.5,NA,4.3,10.7
1967-68,25,TOT,TOT,C,39,NA,1145,5.2,12.1,0.431,0,0,0,5.2,12.1,0.432,2.2,3.9,0.561,NA,NA,13.5,2.2,2.4,3,12.6
1967-68,25,CHI,NBA,C,14,NA,305,2.8,8.4,0.338,NA,NA,NA,2.8,8.4,0.338,2,3.9,0.515,NA,NA,11.1,2.1,NA,4.1,7.7
1967-68,25,INA,ABA,C,25,NA,840,6.1,13.5,0.452,0,0,0,6.1,13.4,0.454,2.2,3.9,0.578,NA,NA,14.3,2.3,3.3,2.5,14.4
Career,NA,,TOT,,230,NA,6369,5.2,12.5,0.419,0,0,0,5.2,12.5,0.419,1.8,3,0.602,NA,NA,12.4,2.2,3.3,3.6,12.3
,NA,,NBA,,205,NA,5529,5.1,12.4,0.413,NA,NA,NA,5.1,12.4,0.413,1.8,2.9,0.607,NA,NA,12.1,2.2,NA,3.8,12
,NA,,ABA,,25,NA,840,6.1,13.5,0.452,0,0,0,6.1,13.4,0.454,2.2,3.9,0.578,NA,NA,14.3,2.3,3.3,2.5,14.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DET,NBA,,191,NA,5224,5.2,12.6,0.416,NA,NA,NA,5.2,12.6,0.416,1.7,2.8,0.615,NA,NA,12.2,2.2,NA,3.7,12.2
1 season,NA,INA,ABA,,25,NA,840,6.1,13.5,0.452,0,0,0,6.1,13.4,0.454,2.2,3.9,0.578,NA,NA,14.3,2.3,3.3,2.5,14.4
1 season,NA,CHI,NBA,,14,NA,305,2.8,8.4,0.338,NA,NA,NA,2.8,8.4,0.338,2,3.9,0.515,NA,NA,11.1,2.1,NA,4.1,7.7
