Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1963-64,21,DET,NBA,C,39,1158,12.4,0.426,NA,0.213,NA,NA,NA,NA,NA,NA,NA,-0.6,0.6,0,0
1964-65,22,DET,NBA,C,78,2699,13,0.435,NA,0.212,NA,NA,NA,8.9,NA,NA,NA,-0.4,3.5,3.1,0.056
1966-67,24,DET,NBA,C,74,1367,12,0.475,NA,0.269,NA,NA,NA,8.9,NA,NA,NA,0.5,2,2.6,0.09
1967-68,25,TOT,TOT,C,39,1145,14.5,0.457,0.003,0.319,NA,NA,17.9,8.8,17.9,19.1,NA,0.3,1.3,1.6,0.066
1967-68,25,CHI,NBA,C,14,305,8,0.38,NA,0.465,NA,NA,NA,7.4,NA,NA,NA,-0.4,0.4,0,-0.002
1967-68,25,INA,ABA,C,25,840,16.9,0.475,0.003,0.287,NA,NA,17.9,9.4,17.9,19.1,NA,0.6,1,1.6,0.091
Career,NA,,TOT,,230,6369,12.9,0.444,0,0.241,NA,NA,17.9,8.9,17.9,19.1,NA,-0.2,7.5,7.3,0.055
,NA,,NBA,,205,5529,12.3,0.439,NA,0.233,NA,NA,NA,8.8,NA,NA,NA,-0.8,6.5,5.7,0.049
,NA,,ABA,,25,840,16.9,0.475,0.003,0.287,NA,NA,17.9,9.4,17.9,19.1,NA,0.6,1,1.6,0.091
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DET,NBA,,191,5224,12.6,0.441,NA,0.224,NA,NA,NA,8.9,NA,NA,NA,-0.5,6.2,5.7,0.052
1 season,NA,INA,ABA,,25,840,16.9,0.475,0.003,0.287,NA,NA,17.9,9.4,17.9,19.1,NA,0.6,1,1.6,0.091
1 season,NA,CHI,NBA,,14,305,8,0.38,NA,0.465,NA,NA,NA,7.4,NA,NA,NA,-0.4,0.4,0,-0.002
