Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,21,DET,NBA,C,39,,29.7,4.7,11.8,.400,,,,4.7,11.8,.400,.400,1.6,2.5,.622,,,10.5,1.3,,3.1,11.0
1964-65,22,DET,NBA,C,78,,34.6,5.2,12.7,.410,,,,5.2,12.7,.410,.410,1.6,2.7,.612,,,11.6,2.3,,3.3,12.0
1965-66,23,Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems),Did Not Play (suspended—legal problems)
1966-67,24,DET,NBA,C,74,,18.5,2.3,5.2,.449,,,,2.3,5.2,.449,.449,0.9,1.4,.612,,,6.1,1.3,,2.2,5.5
1967-68,25,TOT,TOT,C,39,,29.4,4.3,9.9,.431,0.0,0.0,.000,4.3,9.8,.432,.431,1.8,3.2,.561,,,11.0,1.8,2.0,2.4,10.3
1967-68,25,CHI,NBA,C,14,,21.8,1.7,5.1,.338,,,,1.7,5.1,.338,.338,1.2,2.4,.515,,,6.7,1.3,,2.5,4.6
1967-68,25,INA,ABA,C,25,,33.6,5.7,12.6,.452,0.0,0.0,.000,5.7,12.5,.454,.452,2.1,3.6,.578,,,13.4,2.1,3.1,2.4,13.4
Career,NA,,TOT,,230,,27.7,4.0,9.6,.419,0.0,0.0,.000,4.0,9.6,.419,.419,1.4,2.3,.602,,,9.6,1.7,3.1,2.8,9.5
,NA,,NBA,,205,,27.0,3.8,9.3,.413,,,,3.8,9.3,.413,.413,1.3,2.2,.607,,,9.1,1.7,,2.8,9.0
,NA,,ABA,,25,,33.6,5.7,12.6,.452,0.0,0.0,.000,5.7,12.5,.454,.452,2.1,3.6,.578,,,13.4,2.1,3.1,2.4,13.4
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,NA,DET,NBA,,191,,27.4,4.0,9.6,.416,,,,4.0,9.6,.416,.416,1.3,2.1,.615,,,9.3,1.7,,2.8,9.3
1 season,NA,INA,ABA,,25,,33.6,5.7,12.6,.452,0.0,0.0,.000,5.7,12.5,.454,.452,2.1,3.6,.578,,,13.4,2.1,3.1,2.4,13.4
1 season,NA,CHI,NBA,,14,,21.8,1.7,5.1,.338,,,,1.7,5.1,.338,.338,1.2,2.4,.515,,,6.7,1.3,,2.5,4.6
