Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Reggie Harding,,3.1,2.6,1.6,0,NA,NA,NA,NA
Willy Hernangómez,93.4,3.4,2.6,1.8,NA,NA,NA,NA,NA
Tarik Black,87.3,3.1,2.4,1.5,0.7,NA,NA,NA,NA
Festus Ezeli,79.8,2.7,1.7,1.5,NA,NA,NA,NA,NA
Salah Mejri,79.8,3,2.7,1.3,1.1,NA,NA,NA,NA
Greg Stiemsma,79.1,2.7,1.7,1.5,0.1,NA,NA,NA,NA
Željko Rebrača,78.3,3.3,2.4,1.3,0.7,0.5,NA,NA,NA
Stanley Roberts,77.0,3.2,2.1,1.8,0.7,0.5,0,-0.1,-0.1
Gene Wiley,75.8,2.8,2.4,1.8,1.3,-0.1,NA,NA,NA
Victor Alexander,75.6,3,2.5,2.3,1.1,-0.1,NA,NA,NA
Bob Hopkins,75.2,3.5,2.7,1.9,1.4,NA,NA,NA,NA
