Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Kevin McKenna,,1.7,0.9,0.7,0.6,0.5,-0.3
Dahntay Jones,89.3,2,0.9,0.7,0.6,0.4,-0.4
John Warren,83.6,1.7,0.9,0.8,0.5,0.3,NA
Anthony Johnson,78.1,1.8,1.1,0.7,0.4,0.3,-0.2
Chris Carr,73.3,1.7,1.1,0.9,0.3,0.2,-0.3
Brook Steppe,70.2,1.3,1.1,1,0.7,0.6,NA
Nik Stauskas,70.1,1.4,1.1,0.5,0.5,0.3,NA
Raul Neto,68.7,1.8,1.1,0.9,0.7,NA,NA
Ronald Murray,68.4,1.7,1.3,0.7,0.4,-0.3,-0.3
Kevin Stacom,67.9,1.8,0.9,0.8,0.6,-0.1,-0.8
Doug Overton,67.6,1.7,0.9,0.6,0.2,-0.2,-0.4
