Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Kevin McKenna,,1.7,0.9,0.7,0.6,0.5,-0.3,NA,NA,NA
John Warren,83.6,1.7,0.9,0.8,0.5,0.3,NA,NA,NA,NA
Chris Carr,73.3,1.7,1.1,0.9,0.3,0.2,-0.3,NA,NA,NA
Brook Steppe,70.2,1.3,1.1,1,0.7,0.6,NA,NA,NA,NA
Nik Stauskas,70.1,1.4,1.1,0.5,0.5,0.3,NA,NA,NA,NA
Rick Brunson,69.8,1.9,0.7,0.6,0.6,0.3,-0.1,-0.1,-0.2,-0.2
Raul Neto,68.7,1.8,1.1,0.9,0.7,NA,NA,NA,NA,NA
Kevin Stacom,67.9,1.8,0.9,0.8,0.6,-0.1,-0.8,NA,NA,NA
Sergio Rodríguez,64.6,1.7,1.2,0.9,0.7,-0.2,NA,NA,NA,NA
A.J. Price,64.2,2.2,1.2,0.7,0.3,0.3,0,NA,NA,NA
Isaiah Canaan,63.5,1.4,1.4,0.6,0.5,0.2,0.1,NA,NA,NA
