,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1981-82,23,LAL,NBA,,4,10,0,,4,,3,4,,,4,2,,,,4,8,
1983-84,25,IND,NBA,,8,15,1,3,7,15,7,8,2,3,5,7,,,,6,21,
1984-85,26,NJN,NBA,,7,11,1,2,6,9,5,5,3,5,6,6,4,1,4,5,17,15.0
1985-86,27,WSB,NBA,,8,14,5,9,4,7,4,4,2,3,4,5,5,2,2,6,25,16.4
1986-87,28,NJN,NBA,,8,15,5,6,7,11,4,4,3,5,8,5,4,1,5,5,20,18.1
1987-88,29,NJN,NBA,,5,11,2,5,4,7,8,8,1,4,4,3,3,1,3,6,16,14.1
Career,,,,,8,15,5,,7,,8,8,,,8,7,,,,6,25,
3 Seasons,,NJN,NBA,,8,15,5,6,7,11,8,8,3,5,8,6,4,1,5,6,20,18.1
1 Season,,IND,NBA,,8,15,1,3,7,15,7,8,2,3,5,7,,,,6,21,
1 Season,,LAL,NBA,,4,10,0,,4,,3,4,,,4,2,,,,4,8,
1 Season,,WSB,NBA,,8,14,5,9,4,7,4,4,2,3,4,5,5,2,2,6,25,16.4
