,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,27,UTA,NBA,SF,81,2326,,,81%,19%,,+7.5,+6.2,55,34,84,19,123,0,285,29,97
2001-02,28,UTA,NBA,SF,58,1750,,3%,90%,6%,,-5.8,-12.7,57,42,79,13,106,0,213,25,69
2002-03,29,CHI,NBA,PF,78,2378,,,10%,90%,1%,-5.3,+0.3,48,42,116,27,79,0,295,21,76
2003-04,30,TOT,NBA,PF,82,2988,,,3%,88%,10%,-2.9,+3.7,49,35,141,24,83,0,284,22,34
2003-04,30,CHI,NBA,PF,16,408,,,19%,72%,10%,-6.2,+0.9,11,7,25,3,8,0,64,2,5
2003-04,30,TOR,NBA,PF,66,2580,,,,90%,10%,-2.3,+3.0,38,28,116,21,75,0,220,20,29
2004-05,31,TOR,NBA,PF,65,1645,,,19%,80%,1%,+0.9,+4.1,19,12,84,7,34,0,181,4,23
2005-06,32,CLE,NBA,PF,81,2077,,,2%,97%,1%,+2.3,-0.6,35,20,96,15,42,6,140,5,24
2006-07,33,CLE,NBA,PF,81,1360,,,,97%,3%,+4.5,0.0,13,24,75,14,31,3,102,6,19
2007-08,34,TOT,NBA,PF,26,340,,,,95%,5%,-15.4,-11.1,9,4,21,1,5,1,21,0,6
2007-08,34,CLE,NBA,PF,11,156,,,,95%,5%,-2.9,-2.9,3,2,11,0,2,0,11,0,2
2007-08,34,SEA,NBA,PF,15,184,,,,95%,5%,-25.1,-16.8,6,2,10,1,3,1,10,0,4
2008-09,35,PHI,NBA,PF,25,189,,,,90%,10%,+10.8,+11.4,2,2,14,1,3,1,34,0,0
Career,,,NBA,,577,15053,,,27%,69%,3%,-0.3,+0.5,287,215,710,121,506,11,1555,112,348
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CLE,NBA,,173,3593,,,1%,97%,2%,+2.9,-0.5,51,46,182,29,75,9,253,11,45
2 seasons,,UTA,NBA,,139,4076,,1%,85%,13%,,+1.8,-1.9,112,76,163,32,229,0,498,54,166
2 seasons,,TOR,NBA,,131,4225,,,7%,86%,6%,-1.1,+3.4,57,40,200,28,109,0,401,24,52
2 seasons,,CHI,NBA,,94,2786,,,11%,87%,2%,-5.4,+0.4,59,49,141,30,87,0,359,23,81
1 season,,PHI,NBA,,25,189,,,,90%,10%,+10.8,+11.4,2,2,14,1,3,1,34,0,0
1 season,,SEA,NBA,,15,184,,,,95%,5%,-25.1,-16.8,6,2,10,1,3,1,10,0,4
