Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Troy Murphy,,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.7,1.4,1.3,0.3,0.3
Wally Szczerbiak,92.3,8.7,8,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,NA,NA
Danilo Gallinari,90.9,8.2,7.2,6.8,6.3,6.1,5.6,3.9,3.9,1.2,1,NA,NA
Mike Mitchell,89.9,8.3,7.6,6,6,5.9,5.5,4.4,3.6,2.4,0.4,NA,NA
Greg Ballard,89.4,9.4,7.9,6.9,6.9,6,5.6,3.9,3.6,2,1.7,0,NA
Bob Love,88.8,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1,1,0.6,0.2,NA
Danny Granger,88.6,8,7.3,6.9,6.7,6.5,6.2,5.1,1.3,0.6,-0.1,NA,NA
Scott Wedman,87.9,8.6,7.8,7.1,6,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2
Antonio McDyess,87.4,9.4,7.8,6.7,6.2,6,5.7,4.6,4.2,3.6,1.8,1.2,0.8
Truck Robinson,87.2,7.6,7.3,6.9,6.5,6,5.1,4.3,3.3,3.2,2.7,-0.1,NA
Bob Netolicky,87.1,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0,NA,NA,NA
