,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2001-02,21,GSW,NBA,32:06,8,13,1,2,8,13,8,10,5,10,13,4,3,3,5,6,17,14.8
2002-03,22,GSW,NBA,47:56,9,16,1,3,9,16,12,12,8,18,22,7,4,3,5,6,24,26.5
2003-04,23,GSW,NBA,37:36,9,17,1,2,9,16,8,8,6,10,14,2,2,2,3,6,22,21.4
2004-05,24,GSW,NBA,44:54,11,22,4,7,11,21,10,13,8,15,20,6,3,2,5,6,30,26.3
2005-06,25,GSW,NBA,42:59,9,20,4,10,8,16,10,14,9,15,21,4,3,2,5,6,27,22.5
2006-07,26,TOT,NBA,44:11,10,17,5,9,9,15,6,10,6,11,14,6,5,3,4,6,23,22.2
2006-07,26,GSW,NBA,44:11,8,13,5,9,7,9,6,10,6,9,13,6,5,3,4,4,23,22.2
2006-07,26,IND,NBA,39:26,10,17,5,7,9,15,6,6,6,11,14,4,3,2,4,6,22,20.0
2007-08,27,IND,NBA,42:50,8,16,5,8,7,12,8,10,6,14,17,7,2,3,4,6,24,23.2
2008-09,28,IND,NBA,45:07,9,17,7,9,7,11,8,9,6,18,21,6,4,3,5,6,27,27.4
2009-10,29,IND,NBA,46:11,12,18,5,8,9,13,8,10,6,19,19,7,4,2,7,6,29,28.2
2010-11,30,TOT,NBA,28:18,5,11,2,5,5,6,3,4,3,9,11,3,3,1,2,4,12,12.7
2010-11,30,NJN,NBA,28:18,4,11,2,5,4,6,3,4,2,9,11,3,3,1,2,3,8,6.2
2010-11,30,BOS,NBA,26:45,5,7,1,2,5,5,2,3,3,5,7,2,2,1,2,4,12,12.7
2011-12,31,LAL,NBA,31:29,6,10,4,4,6,10,2,2,5,9,11,4,2,3,2,6,12,12.5
2012-13,32,DAL,NBA,30:01,4,9,4,6,3,5,4,4,2,6,7,2,4,2,3,4,12,14.2
Career,,,,47:56,12,22,7,10,11,21,12,14,9,19,22,7,5,3,7,6,30,28.2
6 Seasons,,GSW,NBA,47:56,11,22,5,10,11,21,12,14,9,18,22,7,5,3,5,6,30,26.5
4 Seasons,,IND,NBA,46:11,12,18,7,9,9,15,8,10,6,19,21,7,4,3,7,6,29,28.2
1 Season,,LAL,NBA,31:29,6,10,4,4,6,10,2,2,5,9,11,4,2,3,2,6,12,12.5
1 Season,,NJN,NBA,28:18,4,11,2,5,4,6,3,4,2,9,11,3,3,1,2,3,8,6.2
1 Season,,BOS,NBA,26:45,5,7,1,2,5,5,2,3,3,5,7,2,2,1,2,4,12,12.7
1 Season,,DAL,NBA,30:01,4,9,4,6,3,5,4,4,2,6,7,2,4,2,3,4,12,14.2
