Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Jrue Holiday,,7.1,5.7,5.4,4.2,3.8,3.4,3.4,3.3,1.5,1.2
Devin Harris,90.3,7.5,6.5,5.6,4.2,4.2,3.7,3.3,2.7,2.7,1.6
J.R. Smith,89.2,6.7,5.8,5,3.7,3.7,3.7,2.7,2.5,1.2,0.2
Luke Ridnour,88.7,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9
Johnny Davis,87.9,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3,2.5,1.7
K.C. Jones,87.9,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3,0.8,NA
Jalen Rose,87.7,7.3,7.3,5.7,3.8,3.6,3.3,2.9,2.1,1.8,1.5
D.J. Augustin,87.4,6.2,6.2,5.1,4.1,3.4,2.8,2.8,2.6,1.2,0.5
Danny Green,87.2,7.8,5.9,5.9,4.5,4.2,4.2,3.4,2.9,0.2,0.1
Aaron McKie,87.2,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2,1.6,1.4
Jameer Nelson,86.9,6.6,6,5.6,5,4.9,4,3.5,2.8,2.5,2.1
