Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,27,ATL,NBA,PG,62,NA,2003,8.3,18.3,0.454,2.3,2.9,0.791,1.3,4.5,5.8,7.7,2.9,0.4,4.1,18.9,NA,NA,98
1974-75,28,ATL,NBA,SG,60,NA,1393,10.2,23.9,0.427,3,3.7,0.832,2.5,4.1,6.6,5.5,2.5,0.4,4,23.4,NA,NA,99
1975-76,29,SEA,NBA,SG,81,NA,1644,8.1,18.3,0.442,2.4,3.1,0.776,1.5,4.4,6,5.5,2.2,0.3,3.8,18.7,NA,NA,99
1976-77,30,POR,NBA,SG,80,NA,1665,8.7,19.9,0.438,2.5,3.2,0.767,1.7,3.7,5.4,4.5,2,0.2,4.5,19.9,NA,NA,100
Career,NA,,NBA,,283,NA,6705,8.7,19.8,0.441,2.5,3.2,0.792,1.7,4.2,5.9,5.9,2.4,0.3,4.1,20,NA,NA,99
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,ATL,NBA,,122,NA,3396,9.1,20.5,0.45,2.6,3.2,0.821,1.8,4.3,6.1,6.8,2.7,0.4,4.1,20.7,NA,NA,98
1 season,NA,SEA,NBA,,81,NA,1644,8.1,18.3,0.442,2.4,3.1,0.776,1.5,4.4,6,5.5,2.2,0.3,3.8,18.7,NA,NA,99
1 season,NA,POR,NBA,,80,NA,1665,8.7,19.9,0.438,2.5,3.2,0.767,1.7,3.7,5.4,4.5,2,0.2,4.5,19.9,NA,NA,100
1 season,NA,BUF,NBA,,0,NA,0,NA,NA,0.422,NA,NA,0.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CIN,NBA,,0,NA,0,NA,NA,0.406,NA,NA,0.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
