Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1975-76,29,SEA,NBA,SG,6,NA,86,3.2,14.2,0.222,2.6,4.2,0.625,1.6,4.2,5.8,6.3,3.2,0,5.3,9,NA,NA,106
1976-77,30,POR,NBA,SG,18,NA,295,8,18.7,0.431,1.4,1.8,0.75,1.1,2,3,4.9,2,0.2,4.4,17.4,NA,NA,99
Career,NA,,NBA,,24,NA,381,6.9,17.7,0.397,1.6,2.4,0.806,1.2,2.5,3.7,5.2,2.2,0.1,4.6,15.5,NA,NA,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,POR,NBA,,18,NA,295,8,18.7,0.431,1.4,1.8,0.75,1.1,2,3,4.9,2,0.2,4.4,17.4,NA,NA,99
1 season,NA,SEA,NBA,,6,NA,86,3.2,14.2,0.222,2.6,4.2,0.625,1.6,4.2,5.8,6.3,3.2,0,5.3,9,NA,NA,106
2 seasons,NA,ATL,NBA,,0,NA,0,NA,NA,0.401,NA,NA,0.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
