Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Herm Gilliam,,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA,NA,NA
Carlos Arroyo,91.5,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA,NA
Maurice Evans,91.0,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA,NA
Jim Price,90.8,5,3.7,2.7,2.6,2.4,1.8,1.5,NA,NA,NA,NA
Lionel Hollins,89.2,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1,NA
Keith Bogans,88.9,4.9,3.6,2.6,2.5,2.3,1.7,1.4,1.3,0.1,0.1,0
Greg Buckner,88.9,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.3,0.1,NA
Carlos Delfino,86.8,4.8,4,3.5,3.5,2.9,2.4,1,0.5,NA,NA,NA
Johnny Egan,85.7,5.1,3.6,3.2,3.1,3.1,2,1.4,1.3,0.5,0.5,0
Darrell Griffith,85.7,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4,0,NA
Scott Brooks,85.4,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1,0.7,NA
