,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,23,CIN,NBA,,10,,7,10,,,,,,,,24
1970-71,24,BUF,NBA,,13,,8,9,,,,,,,,29
1971-72,25,ATL,NBA,,13,,7,8,,,,,,,,30
1972-73,26,ATL,NBA,,13,,9,9,,,,,,,,28
1973-74,27,ATL,NBA,,15,,9,10,,,,,,,,35
1974-75,28,ATL,NBA,,13,,10,12,,,,,,,,26
1975-76,29,SEA,NBA,,11,,8,9,,,,,,,,24
1976-77,30,POR,NBA,,11,20,6,10,4,6,7,7,5,1,6,23
Career,,,,,15,,10,12,,,,,,,,35
4 Seasons,,ATL,NBA,,15,,10,12,,,,,,,,35
1 Season,,SEA,NBA,,11,,8,9,,,,,,,,24
1 Season,,BUF,NBA,,13,,8,9,,,,,,,,29
1 Season,,POR,NBA,,11,20,6,10,4,6,7,7,5,1,6,23
1 Season,,CIN,NBA,,10,,7,10,,,,,,,,24
