Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,23,CIN,NBA,SG,57,NA,20.4,3.1,7.7,0.406,1.2,1.6,0.747,NA,NA,3.8,3.1,NA,NA,2.9,7.5
1970-71,24,BUF,NBA,SG,80,NA,26,4.7,11.2,0.422,1.8,2.4,0.751,NA,NA,4.2,3.6,NA,NA,3.1,11.2
1971-72,25,ATL,NBA,PG,82,NA,28.5,4.2,9.4,0.446,1.8,2.1,0.838,NA,NA,4.1,4.6,NA,NA,2.8,10.2
1972-73,26,ATL,NBA,PG,76,NA,36.1,6.2,13.3,0.468,1.6,2,0.82,NA,NA,5.3,6.3,NA,NA,3.4,14
1973-74,27,ATL,NBA,PG,62,NA,32.3,6.2,13.6,0.454,1.7,2.2,0.791,1,3.3,4.3,5.7,2.2,0.3,3.1,14.1
1974-75,28,ATL,NBA,SG,60,NA,23.2,5.2,12.3,0.427,1.6,1.9,0.832,1.3,2.1,3.4,2.8,1.3,0.2,2.1,12
1975-76,29,SEA,NBA,SG,81,NA,20.3,3.7,8.3,0.442,1.1,1.4,0.776,0.7,2,2.7,2.5,1,0.1,1.7,8.5
1976-77,30,POR,NBA,SG,80,NA,20.8,4.1,9.3,0.438,1.2,1.5,0.767,0.8,1.7,2.5,2.1,1,0.1,2.1,9.3
Career,NA,,NBA,,578,NA,26,4.7,10.6,0.441,1.5,1.9,0.792,0.9,2.2,3.8,3.8,1.3,0.2,2.6,10.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,ATL,NBA,,280,NA,30.3,5.4,12,0.45,1.7,2,0.821,1.1,2.7,4.3,4.9,1.7,0.3,2.9,12.5
1 season,NA,SEA,NBA,,81,NA,20.3,3.7,8.3,0.442,1.1,1.4,0.776,0.7,2,2.7,2.5,1,0.1,1.7,8.5
1 season,NA,BUF,NBA,,80,NA,26,4.7,11.2,0.422,1.8,2.4,0.751,NA,NA,4.2,3.6,NA,NA,3.1,11.2
1 season,NA,POR,NBA,,80,NA,20.8,4.1,9.3,0.438,1.2,1.5,0.767,0.8,1.7,2.5,2.1,1,0.1,2.1,9.3
1 season,NA,CIN,NBA,,57,NA,20.4,3.1,7.7,0.406,1.2,1.6,0.747,NA,NA,3.8,3.1,NA,NA,2.9,7.5
