Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1969-70,23,CIN,NBA,SG,57,1161,11,0.443,0.206,NA,NA,NA,19.3,NA,NA,NA,-0.6,1.1,0.4,0.019,NA,NA,NA,NA,NA
1970-71,24,BUF,NBA,SG,80,2082,13.1,0.459,0.211,NA,NA,7.3,20.5,NA,NA,NA,0,1.4,1.4,0.033,NA,NA,NA,NA,NA
1971-72,25,ATL,NBA,PG,82,2337,13.1,0.491,0.224,NA,NA,7,22,NA,NA,NA,1.5,1.5,2.9,0.061,NA,NA,NA,NA,NA
1972-73,26,ATL,NBA,PG,76,2741,14,0.496,0.149,NA,NA,6.9,23.1,NA,NA,NA,2.5,2.4,4.9,0.086,NA,NA,NA,NA,NA
1973-74,27,ATL,NBA,PG,62,2003,15.8,0.483,0.158,3,10.5,6.7,24.6,2.9,0.5,NA,1.4,2.1,3.4,0.082,NA,-0.3,0.7,0.4,1.2
1974-75,28,ATL,NBA,SG,60,1393,16.2,0.459,0.154,5,9.5,7.1,19.1,2.5,0.5,NA,1.4,1.1,2.5,0.087,NA,0.9,0.2,1.1,1.1
1975-76,29,SEA,NBA,SG,81,1644,13.8,0.473,0.172,3.4,10.6,6.9,17.2,2.2,0.4,NA,1.2,1.4,2.7,0.078,NA,-0.4,0.1,-0.3,0.7
1976-77,30,POR,NBA,SG,80,1665,12.7,0.467,0.161,4,8.3,6.2,14.1,2,0.2,NA,0.9,1.5,2.5,0.071,NA,-1.1,-0.6,-1.7,0.1
Career,NA,,NBA,,578,15026,13.8,0.474,0.177,3.8,9.8,6.9,20.5,2.4,0.4,NA,8.3,12.5,20.8,0.066,NA,-0.3,0.1,-0.1,3.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,ATL,NBA,,280,8474,14.5,0.484,0.169,3.8,10.1,6.9,22.5,2.7,0.5,NA,6.8,7,13.8,0.078,NA,0.2,0.5,0.7,2.3
1 season,NA,SEA,NBA,,81,1644,13.8,0.473,0.172,3.4,10.6,6.9,17.2,2.2,0.4,NA,1.2,1.4,2.7,0.078,NA,-0.4,0.1,-0.3,0.7
1 season,NA,BUF,NBA,,80,2082,13.1,0.459,0.211,NA,NA,7.3,20.5,NA,NA,NA,0,1.4,1.4,0.033,NA,NA,NA,NA,NA
1 season,NA,POR,NBA,,80,1665,12.7,0.467,0.161,4,8.3,6.2,14.1,2,0.2,NA,0.9,1.5,2.5,0.071,NA,-1.1,-0.6,-1.7,0.1
1 season,NA,CIN,NBA,,57,1161,11,0.443,0.206,NA,NA,NA,19.3,NA,NA,NA,-0.6,1.1,0.4,0.019,NA,NA,NA,NA,NA
