Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Herm Gilliam,,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4
Jim Price,90.8,5,3.7,2.7,2.6,2.4,1.8,1.5,NA
Keith Bogans,90.4,4.9,3.6,2.6,2.5,2.3,1.7,1.3,0.1
Scott Brooks,90.4,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6
Dell Curry,90.4,5,3.4,3.2,2.7,2,1.8,0.9,0.5
Maurice Evans,90.4,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.1
Greg Buckner,90.2,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3
Randy Foye,88.7,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1
Anthony Morrow,88.4,5.7,3.5,3,3,2.4,1.9,1.7,0.7
Carlos Arroyo,86.9,4.7,3.7,2.8,2.7,2.5,1.3,0.4,0.3
Sedale Threatt,86.9,4.6,4.6,3.4,2.7,2.5,2.1,1.3,0.1
