Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,23,CIN,NBA,SG,57,NA,1161,179,441,0.406,68,91,0.747,NA,NA,215,178,NA,NA,163,426
1970-71,24,BUF,NBA,SG,80,NA,2082,378,896,0.422,142,189,0.751,NA,NA,334,291,NA,NA,246,898
1971-72,25,ATL,NBA,PG,82,NA,2337,345,774,0.446,145,173,0.838,NA,NA,335,377,NA,NA,232,835
1972-73,26,ATL,NBA,PG,76,NA,2741,471,1007,0.468,123,150,0.82,NA,NA,399,482,NA,NA,257,1065
1973-74,27,ATL,NBA,PG,62,NA,2003,384,846,0.454,106,134,0.791,61,206,267,355,134,18,190,874
1974-75,28,ATL,NBA,SG,60,NA,1393,314,736,0.427,94,113,0.832,76,128,204,170,77,13,124,722
1975-76,29,SEA,NBA,SG,81,NA,1644,299,676,0.442,90,116,0.776,56,164,220,202,82,12,139,688
1976-77,30,POR,NBA,SG,80,NA,1665,326,744,0.438,92,120,0.767,64,137,201,170,76,6,168,744
Career,NA,,NBA,,578,NA,15026,2696,6120,0.441,860,1086,0.792,257,635,2175,2225,369,49,1519,6252
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,ATL,NBA,,280,NA,8474,1514,3363,0.45,468,570,0.821,137,334,1205,1384,211,31,803,3496
1 season,NA,SEA,NBA,,81,NA,1644,299,676,0.442,90,116,0.776,56,164,220,202,82,12,139,688
1 season,NA,BUF,NBA,,80,NA,2082,378,896,0.422,142,189,0.751,NA,NA,334,291,NA,NA,246,898
1 season,NA,POR,NBA,,80,NA,1665,326,744,0.438,92,120,0.767,64,137,201,170,76,6,168,744
1 season,NA,CIN,NBA,,57,NA,1161,179,441,0.406,68,91,0.747,NA,NA,215,178,NA,NA,163,426
