,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,24,WSC,BAA,,7,,7,,,,,21
1947-48,25,WSC,BAA,,7,,4,,,,,16
1948-49,26,TOT,BAA,,10,,6,8,,,,21
1948-49,26,BLB,BAA,,6,,5,7,,,,17
1948-49,26,INJ,BAA,,10,,3,7,,,,21
1948-49,26,FTW,BAA,,9,,6,8,,,,21
1949-50,27,TOT,NBA,,8,,7,9,,,,18
1949-50,27,FTW,NBA,,3,,1,1,,,,6
1949-50,27,TRI,NBA,,8,,5,7,,,,18
1949-50,27,BOS,NBA,,6,,7,9,,,,12
1950-51,28,TOT,NBA,,9,,5,5,,,,19
1950-51,28,BOS,NBA,,9,,5,5,,,,19
1950-51,28,INO,NBA,,4,,3,4,,,,10
1951-52,29,BOS,NBA,,5,,3,,,,6,11
1952-53,30,BOS,NBA,,7,,5,,,,,14
Career,,,TOT,,10,,7,,,,,21
,,,NBA,,9,,7,,,,,19
,,,BAA,,10,,7,,,,,21
,,,,,,,,,,,,
4 Seasons,,BOS,NBA,,9,,7,,,,,19
2 Seasons,,WSC,BAA,,7,,7,,,,,21
2 Seasons,,FTW,BAA,,9,,6,8,,,,21
1 Season,,TRI,NBA,,8,,5,7,,,,18
1 Season,,INJ,BAA,,10,,3,7,,,,21
1 Season,,INO,NBA,,4,,3,4,,,,10
1 Season,,BLB,BAA,,6,,5,7,,,,17
