Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
John Mahnken,,4.4,0.9,0.1,-0.6,-0.6,-1,-2
Rich Niemann,-5.8,4.4,1.4,1.2,0.2,NA,NA,NA
Greg Oden,-7.0,4.6,2.2,0.5,NA,NA,NA,NA
Craig Raymond,-8.1,4.7,1.7,1,0,0,NA,NA
Tom Hoover,-9.6,4.4,2.6,0.4,0.1,0,NA,NA
Greg Smith,-11.4,4,0.8,0.2,0.2,0.2,NA,NA
Tod Murphy,-13.7,6.1,1.4,0.4,0.1,0.1,NA,NA
Jamie Feick,-14.3,4.8,2.2,0.9,0.2,0.2,NA,NA
Will Frazier,-14.7,3.8,0.9,-0.1,NA,NA,NA,NA
Mike Sojourner,-14.9,4.7,2.7,0.9,NA,NA,NA,NA
Ed Johnson,-17.2,5.1,2.4,1,NA,NA,NA,NA
