Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,24,WSC,BAA,C,6,NA,NA,NA,NA,0.24,NA,NA,0.842,NA,NA,NA,NA
1950-51,28,INO,NBA,C,3,NA,NA,NA,NA,0.133,NA,NA,NA,NA,NA,NA,NA
1951-52,29,BOS,NBA,C,3,NA,50,1.4,5,0.286,2.2,4.3,0.5,7.2,2.2,7.9,5
1952-53,30,BOS,NBA,C,6,NA,72,0,5,0,2.5,2.5,1,9.5,3,8,2.5
Career,NA,,TOT,,18,NA,122,0.6,5,0.211,2.4,3.2,0.8,8.6,2.7,8,3.5
,NA,,NBA,,12,NA,122,0.6,5,0.125,2.4,3.2,0.727,8.6,2.7,8,3.5
,NA,,BAA,,6,NA,NA,NA,NA,0.24,NA,NA,0.842,NA,NA,NA,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,NBA,,9,NA,122,0.6,5,0.118,2.4,3.2,0.727,8.6,2.7,8,3.5
1 season,NA,WSC,BAA,,6,NA,NA,NA,NA,0.24,NA,NA,0.842,NA,NA,NA,NA
1 season,NA,INO,NBA,,3,NA,NA,NA,NA,0.133,NA,NA,NA,NA,NA,NA,NA
