,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,24,WSC,BAA,,7,,5,6,,,5,18
1947-48,25,WSC,BAA,,4,,0,2,,,6,8
1950-51,28,TOT,NBA,,1,,0,0,,,5,2
1950-51,28,INO,NBA,,1,,0,0,,,5,2
1951-52,29,BOS,NBA,,1,3,2,3,,2,5,4
1952-53,30,BOS,NBA,,0,,2,2,,,5,2
Career,,,TOT,,7,,5,6,,,6,18
,,,NBA,,1,,2,3,,,5,4
,,,BAA,,7,,5,6,,,6,18
,,,,,,,,,,,,
2 Seasons,,BOS,NBA,,1,,2,3,,,5,4
2 Seasons,,WSC,BAA,,7,,5,6,,,6,18
1 Season,,INO,NBA,,1,,0,0,,,5,2
