Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Russ Schoene,,1.8,1.7,1.3,-0.2
Rasual Butler,87.5,1.7,1.7,1.6,0.1
Ed Manning,87.1,1.7,1.4,1.4,-0.3
Terry Driscoll,86.7,1.7,1.7,1.5,0.3
Brian Scalabrine,85.3,1.7,1.4,1,-0.1
Taurean Waller-Prince,85.1,2,1.5,1.1,NA
Thon Maker,84.4,2,1.5,1.3,NA
Jeff Grayer,83.5,1.8,1.5,1.5,0.2
Noah Vonleh,83.4,1.8,1.6,1.2,0.5
Austin Daye,83.0,2.1,1.6,1.3,-0.6
Solomon Jones,80.8,1.9,1.6,0.8,0
