Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Russ Schoene,,1.8,1.7,1.3,-0.2,NA,NA
Terry Driscoll,86.6,1.7,1.7,1.5,0.3,0,NA
Taurean Waller-Prince,85.1,2,1.5,1.1,NA,NA,NA
Thon Maker,84.4,2,1.5,1.3,NA,NA,NA
Charles Pittman,80.6,1.7,1.5,0.9,0.1,NA,NA
Jan Veselý,80.3,1.7,1.6,0.7,NA,NA,NA
Cliff Pondexter,74.9,2.2,1.5,1,NA,NA,NA
Austin Daye,73.4,2.1,1.6,1.3,0.1,0,-0.6
Johnny Baum,72.9,2,1.9,1.5,0.4,-0.1,NA
Andrew Nicholson,72.8,1.7,1.6,0.6,0.1,-0.1,NA
Sam Pellom,72.0,2.2,1.8,0.7,0,NA,NA
