Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Eddie Johnson,,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8
Lucius Allen,90.1,8.2,7.6,7.6,4.9,3.9,3.6,2.2,2.1,1.9,0.1
Kendall Gill,89.6,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.8
J.J. Redick,89.4,6.7,6.7,6.5,5.2,4.5,4.5,3,2.3,1.7,0.5
Vinny Del Negro,89.3,8.3,6.8,5.7,3.7,3.5,3.1,2.5,2.2,1.6,1.5
Steve Kerr,89.0,8.3,7.5,6.1,5.9,3.8,3.2,2.4,1.3,0.6,0.4
Phil Smith,88.9,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA
Eric Bledsoe,88.6,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA
Eric Snow,88.5,8.4,6.1,5.5,5.5,3.8,3.8,1.9,1.9,1.3,0.5
Slater Martin,88.3,8.2,6.3,6.2,6.1,4.7,4.2,3.5,2.4,2.4,1.4
Jerry Stackhouse,88.3,9.2,7.3,6.5,5.8,4.7,3.5,2.1,1.9,1.2,0.2
