,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2015-16,27,SAS,NBA,C,54,508,,,,,100%,+6.5,-5.8,6,12,32,4,48,0,47,12,13
2016-17,28,DET,NBA,C,35,293,,,,,100%,+4.1,+6.0,1,4,13,2,24,1,19,12,11
2017-18,29,TOT,NBA,C,39,337,,,,,100%,+6.0,+6.2,5,10,21,10,42,0,47,9,14
2017-18,29,DET,NBA,C,19,171,,,,,100%,-2.2,-2.1,3,4,9,7,17,0,30,3,7
2017-18,29,LAC,NBA,C,20,166,,,,,100%,+14.2,+14.5,2,6,12,3,25,0,17,6,7
2018-19,30,TOT,NBA,C,58,681,,,,,100%,+0.6,-1.5,20,14,46,16,56,0,119,18,18
2018-19,30,LAC,NBA,C,36,376,,,,,100%,-0.7,-1.8,9,8,27,13,39,0,50,14,11
2018-19,30,PHI,NBA,C,22,305,,,,,100%,+2.3,-0.7,11,6,19,3,17,0,69,4,7
2019-20,31,DAL,NBA,C,37,337,,,,,100%,+9.4,+3.9,8,8,21,7,23,1,30,7,12
Career,,,NBA,,223,2156,,,,,100%,+4.7,+0.6,40,48,133,39,193,2,262,58,68
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAC,NBA,,56,542,,,,,100%,+3.9,+3.2,11,14,39,16,64,0,67,20,18
2 seasons,,DET,NBA,,54,464,,,,,100%,+1.8,+3.0,4,8,22,9,41,1,49,15,18
1 season,,SAS,NBA,,54,508,,,,,100%,+6.5,-5.8,6,12,32,4,48,0,47,12,13
1 season,,DAL,NBA,,37,337,,,,,100%,+9.4,+3.9,8,8,21,7,23,1,30,7,12
1 season,,PHI,NBA,,22,305,,,,,100%,+2.3,-0.7,11,6,19,3,17,0,69,4,7
