Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Boban Marjanović,,3.4,3,1.7,1.5
Bob Hopkins,94.1,3.5,2.7,1.9,1.4
Francisco Elson,93.2,3.1,2.9,1.8,1.6
Willie Sojourner,89.5,3.5,3,2.4,1.9
Leroy Ellis,88.6,3.8,2.8,2.3,1.6
Joel Anthony,87.9,3.3,3.1,1.7,0.6
George Peeples,87.8,4.1,3.2,2.1,1.5
Leon Douglas,87.7,3.6,3.1,2.1,2.1
Kelvin Cato,87.1,4.2,2.7,1.7,1.6
Marreese Speights,87.1,3.8,2.7,2.1,1.7
John Henson,86.7,3.6,3.3,2.3,1.9
