Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Kevin Williams,,1.9,0.6,0.1,0.1,-0.1,NA
Bubbles Hawkins,87.6,1.9,0.6,0.3,0.1,NA,NA
Trajan Langdon,84.5,2,0.6,0.3,NA,NA,NA
Kedrick Brown,82.5,2,0.5,0.4,0.1,NA,NA
Felipe López,81.6,1.9,0.5,0.4,0.3,NA,NA
Treveon Graham,75.9,1.8,0.5,0.4,NA,NA,NA
Emanual Davis,75.5,1.8,0.5,0.3,0.3,-0.1,-0.3
Alexey Shved,75.4,2.2,0.8,0.2,NA,NA,NA
Jerry Eaves,74.9,2,0.7,0,-0.1,NA,NA
Danuel House,73.9,2.3,0.6,0,NA,NA,NA
Gary Phillips,73.4,1.7,0.3,0.2,0.2,-0.1,NA
