Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kevin Williams,,1.9,0.6,0.1,0.1,-0.1
Bubbles Hawkins,87.6,1.9,0.6,0.3,0.1,NA
Trajan Langdon,84.5,2,0.6,0.3,NA,NA
Kedrick Brown,82.5,2,0.5,0.4,0.1,NA
Felipe López,81.6,1.9,0.5,0.4,0.3,NA
Emanual Davis,78.6,1.8,0.5,0.3,0.3,-0.3
Jannero Pargo,77.3,2,0.2,0.1,0.1,-0.1
Treveon Graham,75.9,1.8,0.5,0.4,NA,NA
Alexey Shved,75.4,2.2,0.8,0.2,NA,NA
Jerry Eaves,74.9,2,0.7,0,-0.1,NA
John Jenkins,74.2,1.7,0.9,0.2,0,-0.1
