Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1984-85,23,CLE,NBA,SG,2,0,7,6.7,13.5,0.5,0,0,NA,6.7,13.5,0.5,0,0,NA,0,0,0,6.7,0,0,0,6.7,13.5,NA,122,120
1986-87,25,SEA,NBA,SG,14,0,255,8.7,18.1,0.479,0,0.4,0,8.7,17.7,0.489,5.8,7.7,0.75,3.7,2.9,6.6,5.8,3.1,0.2,1.9,8.5,23.1,NA,119,112
1987-88,26,SEA,NBA,SG,5,0,70,4.8,11,0.438,0,1.4,0,4.8,9.7,0.5,0,0,NA,4.1,1.4,5.5,6.2,2.1,0,2.8,10.3,9.7,NA,101,118
Career,NA,,NBA,,21,0,332,7.8,16.5,0.473,0,0.6,0,7.8,15.9,0.491,4.4,5.9,0.75,3.7,2.5,6.2,5.9,2.8,0.1,2.1,8.8,20,NA,117,113
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SEA,NBA,,19,0,325,7.8,16.6,0.473,0,0.6,0,7.8,16,0.491,4.5,6,0.75,3.8,2.6,6.3,5.9,2.9,0.2,2.1,8.9,20.2,NA,117,113
1 season,NA,CLE,NBA,,2,0,7,6.7,13.5,0.5,0,0,NA,6.7,13.5,0.5,0,0,NA,0,0,0,6.7,0,0,0,6.7,13.5,NA,122,120
