Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Danilo Gallinari,,8.2,7.2,6.8,6.3,6.1,5.6,3.9,3.9,1.2,1
Mike Mitchell,92.3,8.3,7.6,6,6,5.9,5.5,4.4,3.6,2.4,0.4
Greg Ballard,91.8,9.4,7.9,6.9,6.9,6,5.6,3.9,3.6,2,1.7
Antonio Davis,91.4,7.4,7.2,6.5,6.1,6,5.2,5,4,2.2,2
Truck Robinson,90.7,7.6,7.3,6.9,6.5,6,5.1,4.3,3.3,3.2,2.7
Troy Murphy,90.4,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.4,1.3,0.3
Derrick McKey,90.2,7.4,7.4,6.6,6.4,6.3,5.7,5,4.1,3.9,1.8
Michael Cage,90.1,7.6,7.2,6.8,6.7,6.7,6.2,4.9,4.3,3.2,1.7
Bill Bridges,89.8,8.6,7.6,6.7,6.6,6.5,3.9,3.9,3.1,2.6,0.6
Wally Szczerbiak,89.4,8.7,8,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6
Tom Sanders,89.3,7.6,7.5,7.2,6.8,5.5,5.4,4.3,4,3,3
