Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Allen Leavell,,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6,-0.1
Sherman Douglas,92.8,5.4,4.6,4.4,4.2,4,3.3,2.7,2.6,1,-0.1
Ricky Sobers,92.5,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,1,0.1
Mario Chalmers,92.3,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,NA
Eric Gordon,91.3,5.3,4.7,4.6,3.8,3.2,2.9,2.5,2.1,1.1,0.7
Chucky Atkins,91.2,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,-0.2
Don Ohl,90.8,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,1.2,0.8
John Long,90.3,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2,0.2
Bob Weiss,90.0,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.1,0.1,0
Tyreke Evans,88.8,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3
Jason Williams,88.2,5.4,4.8,4.7,4.3,4.3,3.8,2.1,2.1,1.5,0.9
