Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,21,CHI,NBA,SG,1,1,22:00,2,9,0.222,0,1,0,3,4,0.75,3,6,2,3,1,1,4,7
1985-86,22,CHI,NBA,SG,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-87,23,CHI,NBA,SG,1,1,28:00,5,12,0.417,0,1,0,1,2,0.5,0,0,4,2,0,5,2,11
1987-88,24,CHI,NBA,SG,1,1,29:00,17,23,0.739,0,0,NA,6,6,1,3,8,3,4,4,2,5,40
1988-89,25,CHI,NBA,SG,1,1,33:00,13,23,0.565,0,1,0,2,4,0.5,1,2,3,5,0,4,1,28
1989-90,26,CHI,NBA,SG,1,1,29:00,8,17,0.471,1,1,1,0,0,NA,1,5,2,5,1,5,1,17
1990-91,27,CHI,NBA,SG,1,1,36:00,10,25,0.4,0,2,0,6,7,0.857,3,5,5,2,0,10,2,26
1991-92,28,CHI,NBA,SG,1,1,31:00,9,17,0.529,0,0,NA,0,0,NA,1,1,5,2,0,1,2,18
1992-93,29,CHI,NBA,SG,1,1,36:00,10,24,0.417,1,2,0.5,9,13,0.692,3,4,5,4,0,6,5,30
1995-96,32,CHI,NBA,SG,1,1,22:00,8,11,0.727,0,0,NA,4,4,1,1,4,1,1,0,0,1,20
1996-97,33,CHI,NBA,SG,1,1,26:00,5,14,0.357,0,0,NA,4,7,0.571,3,11,11,2,0,3,4,14
1997-98,34,CHI,NBA,SG,1,1,32:00,10,18,0.556,1,1,1,2,3,0.667,1,6,8,3,0,2,0,23
2001-02,38,WAS,NBA,SF,1,1,22:00,4,13,0.308,0,0,NA,0,0,NA,0,4,3,2,0,1,1,8
2002-03,39,WAS,NBA,SF,1,1,36:00,9,27,0.333,0,2,0,2,2,1,2,5,2,2,0,2,3,20
Career,NA,,NBA,,13,13,382,110,233,0.472,3,11,0.273,39,52,0.75,22,61,54,37,6,42,31,262
