Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,TOT,ABA,PF,56,NA,1294,6.3,15.2,0.412,0,0,NA,6.3,15.2,0.412,5.5,8.2,0.677,NA,NA,12.5,1.6,4.3,5.3,18.1
1967-68,25,OAK,ABA,PF,43,NA,1123,6.4,15.1,0.422,0,0,NA,6.4,15.1,0.422,5.4,7.9,0.679,NA,NA,12.2,1.6,4.5,5.2,18.1
1967-68,25,PTP,ABA,PF,13,NA,171,5.5,15.6,0.351,0,0,NA,5.5,15.6,0.351,6.7,10.1,0.667,NA,NA,14.5,1.9,3.2,5.9,17.7
1968-69,26,TOT,ABA,PF,13,NA,148,6.8,12.6,0.538,0,0,NA,6.8,12.6,0.538,4.1,7.5,0.548,6.6,6.8,13.4,1.5,2.7,5.6,17.8
1968-69,26,MNP,ABA,PF,11,NA,137,6.6,11.8,0.556,0,0,NA,6.6,11.8,0.556,3.4,7.1,0.481,6.3,6.3,12.6,1.6,2.6,6,16.6
1968-69,26,HSM,ABA,PF,2,NA,11,9.8,22.9,0.429,0,0,NA,9.8,22.9,0.429,13.1,13.1,1,9.8,13.1,22.9,0,3.3,0,32.7
Career,NA,,ABA,,69,NA,1442,6.3,14.9,0.423,0,0,NA,6.3,14.9,0.423,5.4,8.1,0.665,6.6,6.8,12.6,1.6,4.1,5.3,18
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,OAK,ABA,,43,NA,1123,6.4,15.1,0.422,0,0,NA,6.4,15.1,0.422,5.4,7.9,0.679,NA,NA,12.2,1.6,4.5,5.2,18.1
2 seasons,NA,"PTP,MNP",ABA,,24,NA,308,6,13.9,0.429,0,0,NA,6,13.9,0.429,5.3,8.8,0.6,6.3,6.3,13.7,1.8,2.9,6,17.2
1 season,NA,HSM,ABA,,2,NA,11,9.8,22.9,0.429,0,0,NA,9.8,22.9,0.429,13.1,13.1,1,9.8,13.1,22.9,0,3.3,0,32.7
