,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,TOT,ABA,,14,,0,,,,10,15,,,,,,,29
1967-68,25,OAK,ABA,,14,,0,,,,10,15,,,,,,,29
1967-68,25,PTP,ABA,,7,,0,,,,8,11,,,,,,,18
1968-69,26,TOT,ABA,,9,,0,,,,6,9,,,,,,,23
1968-69,26,MNP,ABA,,9,,0,,,,6,9,,,,,,,23
1968-69,26,HSM,ABA,,2,,0,,,,4,4,,,,,,,6
Career,,,,,14,,0,,,,10,15,,,,,,,29
1 Season,,OAK,ABA,,14,,0,,,,10,15,,,,,,,29
2 Seasons,,"MNP,PTP",ABA,,9,,0,,,,8,11,,,,,,,23
1 Season,,HSM,ABA,,2,,0,,,,4,4,,,,,,,6
