Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25,TOT,ABA,PF,56,NA,1294,225,546,0.412,0,0,NA,225,546,0.412,0.412,199,294,0.677,NA,NA,449,59,155,190,649
1967-68,25,OAK,ABA,PF,43,NA,1123,199,472,0.422,0,0,NA,199,472,0.422,0.422,167,246,0.679,NA,NA,380,50,140,162,565
1967-68,25,PTP,ABA,PF,13,NA,171,26,74,0.351,0,0,NA,26,74,0.351,0.351,32,48,0.667,NA,NA,69,9,15,28,84
1968-69,26,TOT,ABA,PF,13,NA,148,28,52,0.538,0,0,NA,28,52,0.538,0.538,17,31,0.548,27,28,55,6,11,23,73
1968-69,26,MNP,ABA,PF,11,NA,137,25,45,0.556,0,0,NA,25,45,0.556,0.556,13,27,0.481,24,24,48,6,10,23,63
1968-69,26,HSM,ABA,PF,2,NA,11,3,7,0.429,0,0,NA,3,7,0.429,0.429,4,4,1,3,4,7,0,1,0,10
Career,NA,,ABA,,69,NA,1442,253,598,0.423,0,0,NA,253,598,0.423,0.423,216,325,0.665,27,28,504,65,166,213,722
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,OAK,ABA,,43,NA,1123,199,472,0.422,0,0,NA,199,472,0.422,0.422,167,246,0.679,NA,NA,380,50,140,162,565
2 seasons,NA,"PTP,MNP",ABA,,24,NA,308,51,119,0.429,0,0,NA,51,119,0.429,0.429,45,75,0.6,24,24,117,15,25,51,147
1 season,NA,HSM,ABA,,2,NA,11,3,7,0.429,0,0,NA,3,7,0.429,0.429,4,4,1,3,4,7,0,1,0,10
