Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,25,TOT,ABA,PF,56,1294,14.2,0.48,0,0.538,NA,NA,15,6.7,18.7,23.4,NA,1.3,0.5,1.8,0.068
1967-68,25,OAK,ABA,PF,43,1123,14,0.487,0,0.521,NA,NA,14.7,6.6,19.4,23.3,NA,1.3,0.3,1.6,0.07
1967-68,25,PTP,ABA,PF,13,171,15.4,0.442,0,0.649,NA,NA,17.1,7.4,13.6,24,NA,0,0.2,0.2,0.061
1968-69,26,TOT,ABA,PF,13,148,19.6,0.556,0,0.596,NA,NA,16.4,5.8,14.4,18.4,NA,0.3,0.3,0.6,0.189
1968-69,26,MNP,ABA,PF,11,137,17.9,0.554,0,0.6,NA,NA,15.5,6.3,15,17.3,NA,0.3,0.3,0.5,0.182
1968-69,26,HSM,ABA,PF,2,11,41.3,0.571,0,0.571,NA,NA,27,0,10.2,32,NA,0,0,0.1,0.285
Career,NA,,ABA,,69,1442,14.7,0.487,0,0.543,NA,NA,15.2,6.6,18.3,22.9,NA,1.6,0.8,2.4,0.081
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,OAK,ABA,,43,1123,14,0.487,0,0.521,NA,NA,14.7,6.6,19.4,23.3,NA,1.3,0.3,1.6,0.07
2 seasons,NA,"PTP,MNP",ABA,,24,308,16.5,0.484,0,0.63,NA,NA,16.4,6.9,14.1,21,NA,0.3,0.5,0.7,0.115
1 season,NA,HSM,ABA,,2,11,41.3,0.571,0,0.571,NA,NA,27,0,10.2,32,NA,0,0,0.1,0.285
