Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Mike Dunleavy,,3.4,3.1,3,2.6,1.4,1.4,1,0.2,0.1,0,-0.1
Steve Colter,87.8,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,NA,NA,NA
Rod Thorn,86.9,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA,NA
Adrian Griffin,86.7,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0,NA,NA
Mike McGee,86.6,3.2,3,2.8,2.3,1.9,1.1,0.4,0.2,0.2,NA,NA
Fatty Taylor,86.4,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA,NA
Keyon Dooling,85.7,3.7,3.7,2.9,2.1,1.5,1.4,1.1,0.7,0.3,0.3,0
Gerald Henderson,84.6,3.6,3.6,3.3,2.4,2,2,1,0.4,NA,NA,NA
Billy McKinney,83.3,3.4,3.3,3,2.7,2.3,0.9,0.1,NA,NA,NA,NA
Marquis Daniels,82.3,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1,NA
Mickaël Piétrus,82.1,3.6,3.6,3,2.8,2.1,1.5,1.3,1.2,0.6,0,NA
