Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Cliff Barker,,2.2,0.1,-0.2,NA,NA
Stephen Vacendak,88.3,2.2,0.1,-0.4,NA,NA
John Kuester,79.3,1.9,0.1,0,NA,NA
Travis Mays,76.2,2.1,0.3,0,NA,NA
Ticky Burden,73.7,2.6,0,0,NA,NA
Mark Davis,73.5,2.3,0.2,-0.1,-0.1,-0.1
Danuel House,67.9,2.3,0.6,0,NA,NA
Stan Noszka,65.6,1.8,0.4,-0.2,NA,NA
Alexey Shved,58.5,2.2,0.8,0.2,NA,NA
Orlando Johnson,57.6,1.5,0.1,-0.2,NA,NA
Trajan Langdon,56.1,2,0.6,0.3,NA,NA
