Season,Team,Lg,Salary
1985-86,Phoenix Suns,NBA,"$150,000"
1987-88,Portland Trail Blazers,NBA,"$200,520"
1988-89,Washington Bullets,NBA,"$300,000"
Career,(may be incomplete),,"$650,520"
