Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Charles Jones,,2.9,0.9,0.6,0.1
Dick Schulz,93.6,2.9,0.8,0.6,0
Kenny Fields,91.0,2.8,0.7,0.7,0
Derrick Jones,89.0,2.9,1.1,0.4,NA
Darius Miller,88.3,3,0.8,0.5,-0.1
Dennis Hamilton,87.3,2.8,0.7,0.5,0
Rowland Garrett,86.5,3.1,1.1,0.5,-0.1
Jeff Lamp,86.4,3,1,0.7,0.6
Sam Young,86.4,2.9,1.2,0.9,0.2
Walter Herrmann,86.0,2.4,1,0.7,NA
Bob Quick,85.1,2.6,0.8,0.6,0.3
