Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dan Dickau,,3.5,1.5,0.4,0.4,0,0
Shabazz Napier,84.2,3.2,2,0.6,0.5,0.1,NA
Tyus Edney,81.2,3.3,1.5,1.4,0.5,NA,NA
Alfred McGuire,80.5,3.4,1.9,0.1,NA,NA,NA
Jim Thomas,80.2,3.5,1.6,0,-0.1,NA,NA
Ronnie Lester,79.6,3.9,1.7,0.7,0.2,0,-0.2
Ennis Whatley,79.4,3.3,1.9,0.8,0,0,0
Robert Smith,78.8,2.9,1.4,0.8,0.6,0,0
Jeff Judkins,78.6,3,1.8,0.7,0.6,0.2,NA
Anthony Goldwire,78.2,3,1.7,0.3,0.1,0.1,-0.1
Angelo Musi,77.0,3.5,1.3,1.1,NA,NA,NA
