Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dražen Petrović,,8.4,7.7,2.8,2.5
Richie Guerin,91.9,8.4,7.4,3.5,1.7
Steve Smith,91.0,8.1,7.8,3.5,1.5
Lucius Allen,89.3,7.6,7.6,2.2,1.9
Gus Williams,89.1,8.3,7.7,4.2,3.6
Gary Payton,87.5,9.3,7.8,3.9,3.4
Baron Davis,86.8,8.9,8.2,4.5,2.1
Michael Adams,86.4,8.3,7.5,2.7,-0.1
Ray Williams,85.3,8.2,7.2,3.9,1
Ronnie Brewer,84.7,7.8,6.8,3.7,1.7
Kerry Kittles,84.7,8.4,6.9,4.7,1.8
