Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Dražen Petrović,,8.4,7.7,2.8,2.5,NA,NA,NA,NA,NA,NA
George Lehmann,79.5,7.3,5.9,2.5,2.3,0.7,0,0,NA,NA,NA
John Logan,75.6,9.2,8.3,5.2,4.3,1,NA,NA,NA,NA,NA
Bojan Bogdanović,74.5,6.8,5.4,2.9,2.4,0.9,NA,NA,NA,NA,NA
Al Cervi,72.1,9.3,5.3,5.3,2.1,NA,NA,NA,NA,NA,NA
Micheal Williams,70.7,9,7.6,5.7,5.6,0.7,0.3,0,-0.1,-0.1,-0.2
Buddy Jeannette,70.6,8.2,4.9,2.6,NA,NA,NA,NA,NA,NA,NA
Bob Verga,69.6,8.2,3.8,3.3,2.8,1.5,0.1,NA,NA,NA,NA
Charles Beasley,68.5,8,4.1,2.6,0.7,NA,NA,NA,NA,NA,NA
Josh Richardson,68.5,5.6,5.4,2.5,2.2,NA,NA,NA,NA,NA,NA
Levern Tart,68.3,10.9,5.8,1.9,1.2,NA,NA,NA,NA,NA,NA
