,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1978-79,17,ALABAMA,33,1001,201,334,,,75,108,,245,,,,,,477,.602,,.694,30.3,14.5,7.4,
1979-80,18,ALABAMA,30,1064,196,381,,,110,182,,343,,,,,,502,.514,,.604,35.5,16.7,11.4,
1980-81,19,ALABAMA,29,896,194,379,,,105,181,,283,,,,,,493,.512,,.580,30.9,17.0,9.8,
1981-82,20,ALABAMA,30,926,179,352,,,107,138,,258,,,,,,465,.509,,.775,30.9,15.5,8.6,
Career,,,122,3887,770,1446,,,397,609,,1129,,,,,,1937,.533,,.652,31.9,15.9,9.3,
